Sentimento,Texto
1,"Altas horas com bela gil, e Sofia Charlote, Laís de Souza...."
0,Vejo o Léo Stronda na TV e só consigo lembrar do Nudes dele 🤣🤣🤣🤣 #TheNoite #LeoStronda
-1,Alguém avisa para o Murilo Couto que ele não é engraçado! #TheNoite
-1,"O VICTOR NÃO TEVE CULPA, GENTE, Q ISSO #MasterChefBR"
0,"#encontro. Para um otimista é ótimo chegar aos 100, mas pra um pessimista isso é a pior coisa que pode acontecer."
1,"Me alimentei 57 mil vezes 3x ao dia em 51 anos, minha idade.q milagre de Deus kda ano VC c alimenta 1.095 vezes x sua idad #VideoShowAoVivo"
1,"#AltasHoras.  Estamos juntos, @oserginho . Minha mãe também era Ana e também brilha no Universo."
-1,Num guento mais ouvir falar de abóbora​ #MasterChefBR
-1,-eu faço Kung fu.
1,"Genial, cordial, instigante, revelador, simples e arrojado.Ele é Top! É o nosso Bate-papo​ mais que necessário. Esse é #conversacombial!"
-1,"Esse #MasterChefBR  precisa ter repescagem mano, quero Abel de volta"
1,eu sou #MaisVoce
1,"Mas, a gente lida com isso todos dias, cada pequena vitória é uma celebração #ConversaComBial"
-1,"O pgm teria ficado melhor se Augusto Cury fosse o único entrevistado.O cantor não acrescentou nada útil,só falou bobagens. #ConversaComBial"
-1,"#Encontro porra Fátima todo dia agora tu fala da galera de cor,somos todos iguais caralho,para de falar q preto e isso preto e skill..pqp"
1,"O #CDANoDomingoLegal terminou cheio de emoção 😥, domingo que vem tem mais #DomingoLegal  fique agora com a lindaa #Eliana 😍🌹 no @SBTonline."
1,Retweeted JOAQUIN TEIXEIRA (@JOAQUINVOLTOU):
1,#VideoShowAoVivo Otaviano super sexy com essa roupinha
-1,#Encontro parem de ficar cortando falas. A pessoa não consegue terminar uma frase. Toda hr alguém atravessa sem or
-1,"A Paola acabou de falar em aproveitar toda a carne do animal e a participante fala ""É nojeira né?!""! E peito de frango não é ?#MasterChefBR"
0,"Minha mãe me falou desse Vitor B do #MasterChefBR e eu comecei a assistir ONTEM por causa dele, adivinha quem foi eliminado????? ¯\_(ツ)_/¯"
-1,"Putz minha mãe tbm não fala ""eu te amo"" 😨 #Encontro"
0,Olá @oserginho gostaria da participação do Fiuk no #AltasHoras. Obrigada!
0,#edecasa  aqui em casa ultilizou tábua de acrílico tem algum plobema.
-1,@DaniloGentili vc tava bjando alguém no camarim antes da gravação? Sua boca  tá mt vermelha. #chateadaEcomCiumes hehehe ❤ #TheNoite #Maluma
0,Nem sei em qual time torcer  #MasterChefBR
1,Tema absurdamente importante abordado no #Encontro
1,#MaisVoce O @danstulbach  é incrível! Ele é tão sereno... tenho vontade de ouvir ele falar o dia todo!
-1,#TheNoite
1,Passar calcinha e cueca é demais. #MaisVocê
0,"Negro, branco, preto...somos pessoas é assim que devemos ser chamados #Encontro"
1,Programa muito top... mas queremos Laura Miller com mais tempo #AltasHoras
-1,"Nayane foi bem desnecessária falando que tá  de TPM, e o melhor foi a reação da Paola e da Ana Paula Padrão hahahaha #MasterChefBR"
-1,Não to sabendo lidar com essas delícias. #MaisVoce
0,sigam me os bons @IsabelaGarnes #VerãoComDetremuraSDV #MafiaSDV #SDV?L=3365 #LuaBlancoNoEncontro #VideoShowAoVivo #SenhoraDoDestino 3365
1,"Isso sim é um programa de entrevista. O programa todo voltado só pra elas duas, com risadas, conversas e músicas. AMEI !!! #ConversaComBial"
1,@pefabiodemelo  melhor pessoa ❤ #VideoShowAoVivo
1,Essa mãe que adotou esse menino de 18 anos é uma pessoa incrível #Encontro
1,"Meu Deus,o prog.do @DaniloGentili ta maravilhoso hoje.. Mas o melhor com certeza é o @roxmo caracterizado de ""velha surda"" 😂 #TheNoite"
1,DAQUI A POUCO VAI COMEÇAR #MasterchefBR
1,Força equipe azul 🙌🏻 #MasterChefBR
1,#VideoShowAoVivo
1,E esse cabelo ? AHAHAHA LINDA #VideoShowAoVivo
-1,Ai não acredito.................... QUE BOSTA #MasterChefBr
-1,"Ceis imaginam o q tive q ouvir o povo cantando esta musica do É o tchan pra mim na ""epoca"" #AltasHoras"
1,#TheNoite Nem me lembrava que o Zé Modesto tinha trabalhado na Escolinha!!!Ele é divertido demais!!!
-1,#MaisVoce falta q Hebe Camargo faz seria uma aliada na luta a violência doméstica todo hora matam mulheres e nada acontece
0,Aderlize está pra Tammie Brown assim como Taíze está pra Urach #MasterChefbr
1,"Charlie Hunnam, te conheci hj e ja estou apaixonada. O thor é feio perto dele. Vou ver rei arthur fato! #thenoite"
-1,No #Encontro deveria falar sobre analfabetismo funcional. Uma pergunta com 3 opções todo mundo responde o que não está escrito
1,"Laís, que linda! Que empatia, meu amor ❤️ #altashoras"
1,Caiu uma lágrima aqui nessa cena de A Favorita
1,"família é bênção, q coisa linda essa demonstração de amor ❤️ #altashoras"
1,#VideoShowAoVivo Fátima é a mulher mais respeitada na profissão dela! Rainha!
1,"@Videoshownatv #VideoShowAoVivo é do Robinson Monteiro a musica ""Pra Sempre Vou Te Amar"""
1,"@MChefVitorB saiu do programa, mas continua no meu coração! #MasterChefBR #crush"
1,#conversacomBial substituindo muito bem #ProgramadoJo
1,É o Tchan no #AltasHoras
1,#Encontro sandy maravolhosa :)
-1,Cara acabou 😭#FatimaBernardesNoVideoShow #VideoShowAoVivo
1,Aqui em casa eu espero mais o #MasterChefBR do que a janta 😂😂😂😂😂😂
1,"@MChefVictorV o melhor ! Esbanja caráter, ainda ajudou quem pediu !!! Arrasa !!! #MasterChefBR"
-1,Acho um absurdo fazer um monte de filhos e deixar pra mãe (no caso a avó) cuidar ou os filhos mais velhos.Me poupe #encontro
1,A filha da Carolina Kasting dando um banho em muito  adulto no #Encontro
1,Pra hoje?
-1,Dormi de novo no final de #MasterChefBR 
1,Isso é uma coisa normal na vida do cidadão!!!! Kkkkkkkk. #MisterCatra #TheNoite @DaniloGentili
1,A cara de nojinho da Yuko SHUADHUASHUOAK #MasterChefBR
0,A melhor peripécia ate agora do casal Licurgo e Germana foi o episodio da fuga dos escravos q ainda deixaram o casal no tronco #MaisVoce
1,Prepara o coração. Agora que eu morro #MasterChefBR
-1,Gente! Esse povo não conhece a técnica de desfiar o frango na panela de pressão?! #MasterChefBR
1,Depois tenho que ver #MasterChefBR
0,TMJ @taisdeverdade abóbora não jkkkkkkkkk #MaisVoce
-1,"#MasterchefBR nao dou conta desse povo colocando coisas no prato apenas "" para dar cor""."
0,Medo Bobo 😍😍💕💕 #ConversaComBial #MaiaraeMaraisaNoBial @MaiaraeMaraisa
1,"Tá fácil ficar lendo essas coisas no trabalho, sobre o #VideoShowAoVivo com a @fbbreal"
-1,"Na moral a Fátima Bernardes ta ficando entrona,chata igual o Faustão #VideoShowAoVivo"
0,Eu na vida Hahahhahahah vamos deixar de lado pq eu esqueci #encontro
1,ultraje dando tchauzinho kkkkkkkkkkkk eu amo vocês
0,KKKKKKKKKKKKKKKKKKKK o nome da musica
0,Popular que quer ficar rico tipo eu #MasterChefBR
-1,#Encontro depois dizem q não vivemos em uma sociedade machista. Todo dia um macho escroto passando vergonha.
0,Hahaha morta que Piva tá dizendo que não reconhece Viviane quando ela tá normal hahaha
-1,#MasterChefBR Salvem o Vitor please!!! 😭😭😭
0,#EDeCasa como diminuir a oliosidade excessiva?
0,'A cadeia é talvez o único lugar onde a mulher tenha total liberdade sexual' @drauziovarella #ConversaComBial
0,"Olá, @MaisVoce_Globo! Gostaríamos de ver a cantora e youtuber @luisasonza no"
-1,#MasterChefBR
1,"Jaja vai começar meu amorzão, meu vício em forma de programa #MasterChefBR"
1,"Ota podia imitar o Pato Donald, é tão fofinho #VideoShowAoVivo"
1,Tem muita gente boa nesse masterchef #MasterChefBR
1,Hoje é dia de surtar com o meu shipper 
1,Domingo farei panquecas de frango ao molho branco e pudim de leite condensado de sobremesa! Sou mto #MasterChef #MasterChefBR!!!
1,Só um #MasterChefBR agora
-1,Dormi no meio do #MasterChefBR ontem. Assistindo agora e estou arrasada que não tem chance da Miriam sair. Afff
-1,"Agora, esse spoiler que a Nayana sai no próximo programa não surpreende pois acho que ela até está durando muito..haha #MasterChefBR"
1,"Olá! @fbbreal, saudades de ouvir cantando  Sam Alves no  @EncontroFatima, @RedeGlobo, #Encontro"
-1,Postei o video da Tais Araujo no #MaisVoce no Feicebook e os comntarios foram: comeria ate a Ana Maria.
-1,Imaginou Mirian ou Leonardo ganhando esse #MasterChefBR vai ter uma 3 guerra mundial em pleno twitter
-1,O #ConversaComBial de hoje começou 35 minutos depois do horário divulgado no site da programação da Globo.
0,Cara ri muito da cara da Aderlize  #MasterChefBR
0,Esse programa só me dar fome.
1,Ansioso para ver o #AltasHoras com as presenças de @sophiaabrahao e sua mãe! #VídeoShowAoVivo
1,Que delícia atualizar minha pastinha de memes #MaisVoce
1,@perecilaa Fica pro #MasterChefBR
-1,ALGUEM AVISA O QUERIDINHO AI Q LOUÇA SE LAVA COM A MÃO E N COM A ROLA #encontro
-1,Não tem jeito Bial nosso País é o País dos Melhores Memes do Mundo. Até porque o Brasil é uma piada #ConversaComBial
0,Marcos e Belutti ja tem crachá da Globo ne? Toda semana na Globo #Encontro
1,"@redeglobo #ÊDeCasa &lt;3 Amo vcs!! Bjos Ana, Cissa e Andre e bom trabalho por aí! Estaremos juntinhos até o final do programa. Desejo sucesso"
-1,"#AltasHoras quem é esse de preto, achando que é o jacaré, dançando na platéia as músicas do tchan kkkkkkkkk"
1,Minha coisinha rica de amor! @Rua15Saulo é vida!!!! #ÉdeCasa
1,É agora!!!!! #MasterChefBR
0,#altashoras Passa o meu video @oserginho !!!!!
0,Carinha de Nicolas Prattes #VideoShowAoVivo
1,@Anitta @RodrigoFaro Queremos você também no #DomingoLegal e #Eliana
1,#Encontro @SandyLeah  ela é maravilhosa 😍 melhor cantora
-1,"Que nojo do Vitor colocando o dedo no frango, lambe, põe no avental, lambe.. #MasterChefBR"
1,Obrigada por mostrar minha deusa Vivianne Pasmanter #VideoShowAoVivo
0,"Gente, o Victor que cortou o dedo foi eliminado do #MasterChefBR ?"
0,Posso vê o #TheNoite  Pela TV digital Aberta Chupa SIMBA
1,"Se nessa altura do campeonato o #masterchefbr tá desse jeito, imagina no season finale"
-1,Imaginem ser eliminado por cortar a mão profundamente? LOL. #MasterChefBR 😭😭
1,AAAAAAA Vanessa falando da aceitação dos cabelos naturais. Que lindo 💕 #AltasHoras
1,A vida deveria passar devagarinho...igual a contagem regressiva da Ana Paula Padrão no #MasterChefBR
-1,Fátima sendo pisada ao vivo. Amei pois detesto quando o povo está  falando e ela muda de assunto sem deixar a pessoa concluir.  #Encontro
1,NOSSINHORA CHARLIE HUNNAM HOMÃO DA PORRA #TheNoite
0,Daqui a pouco começa #MasterChefBR e aqui em casa não tem ingrediente pra fazer nem misto
1,A Fátima é minha musa #VideoShowAoVivo
-1,Como assim aquele Leo antipático é q tá com avental de capitão? #MasterChefBR
1,#DomingoLegal Gustavo que beleza é essa? @carlo_porto
0,"Paola: “Se vcs tivessem que matar o frango, com certeza que não iam só pegar o peito p/fazer grelhadinho e jogar fora o resto” #MasterChefBR"
1,@MaiaraeMaraisa Maiara me emprega? hahah
-1,a cara da garota BERRO #AltasHoras
-1,"Enqto vc come um bom prato de batata doce com frango, a Namaria mostra doces, guloseimas, e afins. #Maisvoce ferrando com o meu emocional!"
-1,"Não, o diabo é seu.  Eh risoaaalto  #conversacomBial"
1,Que linda homenagem para o Nelson 😍😭❤ #VideoShowAoVivo
0,#VideoShowAoVivo 
-1,Comidas sem graça hj no #MasterChefBR
1,#MasterChefBR pode não ter restaurante taliandes no BR mas a colonia japonesa é yuko torn
-1,Aff cadê a Vivianne Pasmanter? Chamam ela e nem a entrevistam.
1,😂😂😂 o melhor foi a @cissa_guimaraes se recuperando em um minuto do susto e seguindo lindamente a matéria sobre tábuas!!!Kkk #EDeCasa @gshow
1,@SandyLeah no #Encontro gostei! 💙👏
0,"#AltasHoras/Gostaria de pedir que desejacem um feliz dia das mães para minha,sempre que possível com algo para ela,hoje não pude,agradeço!!"
1,"gnt, essa filha da Carolina é a maturidade em forma de gente, meu Deus #encontro"
-1,Nenhuma eliminação me abalou tanto igual essa #MasterChefBR
-1,Como assim ninguém fez prato com Cupuaçú? Decepcionado com o pessoal do #MasterChefBR
0,Olá @oserginho gostaria da participação do Fiuk no #AltasHoras. Obrigada!
0,@RedeGlobo por favor queria muito ver os bastidores da cena do parto de Anna
-1,Bela Gil agora humilhou geral com essa revelação da participação no clip do Tchan! Poderia ter substituído pela minha pessoa! Rs #AltasHoras
-1,"O genocida Stalin disse uma vez que se não deixavam os inimigos terem ideias, por que deixariam ter armas? Hitler desarmou também #TheNoite"
1,Melhor parte da terça: #MasterChefBR 😍
-1,Deixa meu crush por favorrrrrr #MasterChefBR
1,"@flawlessmf @CentralDeFasSA Sophia Abrahão no #altashoras é ""Vida Inteligente na Madrugada"" 💖 "
1,Sorte do dia: hoje tem @masterchefbr #MasterChefBR
-1,vitor b eliminado NÃO FOI A GENTE QUE PEDIU #MasterChefBR
-1,Assisto coisas terríveis em Grey's Anatomy mas tenho aflição de parto #AltasHoras
1,Padre Fábio é maravilhoso! #conversacombial
1,"paolla oliveira é muito linda, não é justo  #VideoShowAoVivo"
-1,Se o Léo não tivesse entrado no master chef não faria diferença 
1,VAAAAAAAMOS TEAM AZUL #MasterChefBR
1,Esse Guilherme Arantes é o cara 
0,comeca logo #MasterChefBR
0,no dia que a Ana faz galeto não chama a Tais Araújo #MaisVoce
-1,"@RedeGlobo, que tal parar de convidar Youtubers para o #EDeCasa para chamá-los apenas de blogueiros só p/ ñ divulgar os canais deles?"
-1,Entao quem Tem Mais de 45 anos Nao Pode ser inovador politicamente @lemos_ronaldo ? #ConversaComBial
1,Eles cantando e Sophia mostrando o look no #VideoShowAoVivo foi muito lindo! 
0,"Nossa, nunca acertaria que a convidada disfarçada de hoje era a Fátima Bernardes! #VídeoShowAoVivo"
1,Ana eu amo abobora me chama para comer kkkk #Maisvocê
-1,calma aí alguem me atualiza o Douglas saiu? como assim? #MasterChefBR
0,KKKKKKKKKKKKKK JA DEU AQUELA BULINADA NA JU
1,Muito amor por é o tchan #AltasHoras
-1,Toda mulher é prisioneira! #ConversaComBial
-1,Acabou o #ConversaComBial e o #MasterChefBR AINDA NÃO ACABOU...
1,Victor V é muito crush #MasterChefBR
0,Claro que a gordinha disfarçada é a Angélica #VideoShowAoVivo
0,Mas só a @acidezfeminina pra completar os desafios do Mestre Mandou!!
1,Paolla Oliveira está muito bem nesse papel! A cena da batida policial na comunidade foi muito real! #VideoShowAoVivo
1,Vítor louco e cafajeste 😍😍😍😍😍 #MasterChefBR
1,Ja já começa a prévia do #MasterChefBR  😍
1,#Encontro  ... SOU DALTÔNICO PARA RAÇAS ...
1,#VideoShowAoVivo Recife Te Ama ♥️♥️♥️♥️♥️ melhor programa 😎😎♥️
1,Rodrigo Santoro pleno e maravilhoso. Um orgulho nacional ❤
1,"Eita padre que fala bem, fala difícil de entender uma hora dessa, mas é muito inteligente @pefabiodemelo #ConversaComBial"
-1,Esse #ConversaComBial que programa insosso...só tem grife.
1,KKKKKKKKKK esse mestre mandou promete
1,MALUMA É UM TUDINHO DE HOMEM QE PQP ❤
1,hoje tem #MasterChefBR uhu
0,#VideoShowAoVivo vocês sabem o que significa lagartcha aqui no Rio Grande Do sul?😅
1,"A Carol Duarte c a Marcela 😍😍, só gente q eu adoro hj haha #VideoShowAoVivo"
1,Queria ser bff do @pefabiodemelo e ficar gravando snap com ele. #ConversaComBial
0,"Oi migas boa tarde,,"
1,Papo pra lá de interessante e de alto nível intelectual com @pefabiodemelo #ConversaComBial 👏🏼👏🏼
1,A Nayane evoluiu muito 👏 #masterchefbr
0,#Encontro fatima aceitaria sua filha namorando um negro e machista kkkkkkk
-1,"Perguntem sobre a vida acadêmica, sonhos, medos e planos da Laís! Chega de se lamentar #AltasHoras"
-1,"eu vou ficar mto triste se o Vitor sair, meu preferido bicho #MasterChefBR"
1,Hora de ativar o Twitter. Hoje é dia de #MasterChefBR
0,Olá @oserginho gostaria da participação do Fiuk no #AltasHoras. Obrigada!
1,Morri d rir con namaria pintando o cabelo da boneca  #MaisVoce
0,Vermelho é a cor da minha vida! Mas dessa vez eu estava torcendo pro azul 😥 #MasterChefBR
1,@fred_b12 seeu lindoo.. Amoo 💚💚 #TheNoite
0,@Joelma quando vão chamar ela pra ir no #AltasHoras
1,Pq Paola é tão perfeita??? #MasterChefBR
1,"Odeio passar roupa, mas esse ferro de passar dá ate p fazer inalação c o vapor dele alem de abrir os poros. #MaisVoce"
1,Olavo de Carvalho no #TheNoite dia 30 de Maio! melhor notícia
-1,"Meus favs tão saindo cedo, primeiro Roger agora Douglas. Só falta Vitor V. pra torcer senhor"
0,"#MaisVocê ana eu te assisto todo dia pergunta dan estubat se não tem Saudades do cqc, pergunta mesmo vcs mesmo produção"
1,Vitor merece o Tocantins inteiro... #MasterChefBR
-1,A função do Marco Luque no #altashoras é desnecessária
1,"morto que o #MaisVoce encerrou com ""Stay Together"" da Noah! Namaria cada vez mais pop."
1,Quero um pijama desseeeee #MaisVoce
0,#MasterChefBR TCHAU MIRIAM
-1,Arrasado com esses spoilers que a Ana Luiza e a Nayane já foram eliminadas do #MasterChefBR :(
-1,Perdi o #MasterChefBR de ontem e estou lendo spoilers. Não quero ler!!!!
-1,Eu curso gastronomia e fico perdido aqui em casa sem idéia do que faria socorr
-1,Fernando tu não me mata #MasterChefBR
-1,Morrendo Namaria de 🦄🦄😂😂😂😂😂😂😂😂😂😂 #maisvoce
-1,nao gostei do victor ter saído #MasterChefBR
-1,Celso vai enrolar  pra mostrar esse clipe atéeeeeee 😂✋
1,#DomingoLegal melhor programa de domingo
0,Olá @otacosta @Lopesjoca gostaria da participação do Fiuk no #VideoShowAoVivo. Obrigada!
0,"#TheNoite Vamos deixar o Brasil sem presidente , agente faz um Grupão no Whatssap e vai decidindo as coisas ;"
-1,"mds a Maiara quer ser primeira voz até fora do palco, pera ai né #ConversaComBial"
1,Thomas é o momento fofura da noite #AltasHoras
-1,Que batata verde é essa??? #MasterChefBR
-1,#MasterChefBR faltou costela de tambaqui
0,Começou o #TheNoite
-1,Eu odeio esss Leo do #MasterChefBR
-1,Miriam aparece e eu blehhhh 😬#MasterChefBR
0,"Imagens raras e inéditas do último aniversário de Hebe, em 8 de março de 2012, no #MaisVocê"
1,@Domingo_Legal programa maravilhoso! O quadro está sensacional #DomingoLegal
0,esse olhar 😏😏😏 #MasterChefBR
-1,Esse maluma que ser americano a força 
-1,Climão entre os chefs e participantes enquanto Ana Paula Padrão recomenda Caldo Knor em pleno #MasterChefBR
-1,"Tadinha da @taisdeverdade ...Miga, esquenta não. Já aconteceu comigo. Fui almoçar na casa d uma amiga e ela fez dobradinha. Odeio. #Maisvoce"
-1,Ah! se eu pudesse latir tudo o que eu penso MORTA kkkkkkkkkkkkkkk #VideoShowAoVivo
1,Nossa rainha  no #Encontro  tão plena Tao linda luinha arrasa
1,"Não estou sabendo lidar com o filho do Serginho puxando o ""vau vau"" pelo estúdio 😍 #altashoras"
-1,#MasterChefBR Estou mais nervosa q eles todos juntos...
-1,Sei não. Fernando tá na corda bamba... Mas o Vitor vai salvar todo muundo hj. SOCORRO! #MasterChefBR
1,#masterchefbr
0,O creme de leite que tem em casa está vencido faz uma semana. Posso fazer a receita mesmo assim? #MaisVoce
1,Vivianne Pasmanter no #MaisVoce eu tô feliz
1,"É incrível a lei da física, quimica, etc. Vivianne Pasmanter sorri e automaticamente a gente sorri junto PasmanterEPivaNoMaisVocê #MaisVoce"
-1,Cala a boca desse Leonardo! Que cara chato #MasterChefBR
0,Coração saltitante com Rodrigo Santoro em #ConversaComBial
1,#VideoShowAoVivo Fátima realmente é um exemplo de pessoa/mulher a ser seguido.
1,Pasquale maravilhoso! #Encontro
1,"#Encontro.  Homem que é homem, não só lava a louça como cozinha também.  Companheirismo é a palavra. A questão não é ajudar."
1,"Sempre duvidam dos pratos da Yuko... Ela é um amor e aparenta inovar no que faz, diferente daqueles que só fofocam. #MasterChefBR"
1,"Gente, tô emocionada com essa mensagem de amor a família, a mãe, ao filho,a esposa, Serginho eu amo tanto vc #altashoras obrigada por isso!"
-1,Aaaaah não kkkkkkkkkkk @MaiaraeMaraisa #ConversaComBial #MaiaraeMaraisaNoBial
1,Maravilhosas @MaiaraeMaraisa no #ConversaComBial
-1,às vezes no silêncio da noite eu fico imaginando quando a miriam vai sair do #MasterChefBR?
1,"Eu sei te amar,  como ninguém jamais te amou e amou... O que falar depois desse tiro #Encontro"
-1,Deveria ter uma prova regional do #MasterChefBR sobre Osasco... o prato seria um dogão completo
-1,"O programa #Encontro ta muito legal, mas que horas começa os desenhos?"
1,"A terceira música nem acabou, e eu já tô lembrando da gente fazendo amor... #MaiaraeMaraisaNoBial #ConversaComBial"
0,indicada pela turma do Inglês Intermediário a fazer os doces de fim de curso... 
-1,A plateia do Caras e Bocas pisaria muito nessa plateia do #altashoras
0,É #TheNoite e o Gentili está no ar
-1,Maluma dançando papai do céu 😎 #TheNoite
0,#VideoShowAoVivo  Aqui em SP é gelinho
0,Lula tinha dois revólveres qd sindilista
-1,"Essas duas são muito ruinzinhas, pqp #ConversaComBial"
-1,Pior que a fala desse rapaz do #Encontro é a falar de muitos machistas. Isso AINDA é real.
0,Agora Partiu Ver @MaiaraeMaraisa na globo em #ConversaComBial #MaiaraeMaraisaNoBial....
-1,#masterchefbr nem acredito que ele foi embora coitado
0,É a Fátima Bernardes #VideoShowAoVivo
0,"Aproveitando que o assunto é política, só queria dizer que eu sou um bom partido. mandem direct ❤️ #MasterChefBR"
-1,Namaria colaborando mais uma vez com a fábrica de memes 😂😂😂😂#maisvocê
1,"Que carinha de menina sapeca, ohh meu Deus #MaiaraeMaraisaNoBial #ConversaComBial @MaiaraeMaraisa"
1,hj o #TheNoite com o @benebarbosa_mvb foi sensacional
1,Terça feira é dia que ficar com vontade de comer vários coisitas diferentes por causa do #MasterChefBR
1,Aprendendo a passar roupa no (mais vc )com Ana Maria #MaisVoce
0,Alô galera do é de casa! Vcs precisam convidar @fitbyisis (instagram) para ensinar suas receitas. São super práticas e fáceis. #EDeCasa
0,Como a Sheron vai fazer com a novela ? #Encontro
-1,Aderlize: “Eu vou preparar o coração ao molho de vinho.” Jura? 😒 #MasterChefBR
0,Espero que o Vitor B não fique muito nervoso e faça um bom prato POR FAVOR #MasterChefBR
-1,aaaaaa Douglas não pode sair nao pfvvvv
1,Que show Maiara e Maraísa cantando Elis #conversacomBial
0,#Encontro sou 10 anos mais velha que meu esposo e nos conhecemos num show do @nando_reis em Fortaleza  😉
1,"Não sei porque mas adorei o tema do #Encontro de hoje, com a participação da @PatriciaKogut."
-1,Gente alguém avisa a @MChefYuko esquecer a Tailândia 🇹🇭 até acabar esse #MasterChefBR ? Ñ tá sendo fácil torcer pra ela... 😩
1,#ConversaComBial. Ah.. um padre desse na minha paróquia...eu confessava TUDO! Que desperdício um homem desse padre...meodeos!
-1,"Olha, quero assistir o meu #MasterChefBR em paz! Nada de cortes profundos e sangrentos! Tenham cuidado."
-1,Eu tô odiando essa prova do #MasterChefBR. Deve ser pq eu não suporto maromba...
1,Grandes atores PasmanterEPivaNoMaisVoce #MaisVocê
-1,#MasterChefBR PISA MENOS EU IMPLORO KK
1,Respeito por esse #AltasHoras com É o Tchan! 👏👏👏
-1,"Paola: “Se você cria e mata um bicho, aproveita tudo.” LOL. Lá vem Paola e falsa benevolência. K. #MasterChefBR"
1,queria as pantufas de unicórnio da Namaria 🦄 #MaisVoce
0,Acho q Vitor não sai #MasterChefBR
-1,a parte q ele fala da mel é só isso? #ConversaComBial
-1,Vitor B saiu 😭😭😭 #MasterChefBR
-1,carai que cena pesada :x
-1,São Paulino é eliminado ate no #MasterChefBR 
1,"Olha, esse Pullman Artesanato é mesmo uma maravilha. De fazer aposentar o pãozinho francês. #MasterChefBR"
1,Maiara e Maraisa cantando belchior ❤️❤️❤️ 
1,O que é esse Léo Stronda mdss 😱😍 #TheNoite
-1,"Pq qdo tem influência européia é sofisticado e qdo é asiático é nadavê, só é bom pra prova ""exótica""/diferentona? (...)  #MasterChefBR"
1,O time azul já pode ganhar né more #MasterChefBR
1,#MasterChefBR
-1,To chateada que o Vitor saiu #MasterChefBR
1,"#Encontro meu Deus, Sandy linda d+ sou fã desde sempre! 😍👏👏👏👏"
0,"Acabei de ver a Dilma no programa #Encontro ,ops era a Claudia Jimenez. Te amo Claudia, mas está a cara da Dilma."
-1,"Eu sou essa guria, vou com o psicológico preparado para a nota baixa"
-1,agoniante esperar o povo votar #MasterChefBr
-1,Olha esses assuntos
1,#EDeCasa com Saulo 💙💙💙💙 @Rua15Saulo
-1,Ele não vai cantar 🤔 #TheNoite
1,ABRAÇA #VideoShowAoVivo
1,Fátima Bernardes amo muito!Maravilhosa 👏🏻👏🏻👏🏻
0,Voce gosta mas de gato ou cachorro?
-1,"Poderia sair a Nayane, Fabrizio e Mirian de uma só vez! #MasterChefBR"
0,"Acho a Aderlize uma forte concorrente no #MasterChefBR , mas eu sou #EquipeAzul"
0,sigam me os bons @IsabelaGarnes #VerãoComDetremuraSDV #MafiaSDV #SDV?L=2026 #N #GustaNoMixTudo #Encontro 2026
-1,"quando o cantor começa a cantar a música diferente da original, isso quer dizer que ele já deve tá de saco cheio de cantar ela #altashoras"
-1,"Hm, ela confundiu?"
1,Melhor #Encontro da história. Tretão ao vivo
-1,#MasterChefBR essa Mirian e esse leonardo tem que sair pra ontem já
1,Reconheci de cara o @nicolasprattes em Terra Nostra 😍 #VídeoShowAoVivo
1,Sou #MasterChefBR  e nem sabia kkkkkkk como macarrão com sardinha desde de sempre Amuuuu!
1,#FicaYuko
1,As irmãs Galvão na idade que está usando salto alto e eu nem sei me equilibrar direito em um 😂   #Encontro
1,Ana arrasou. Chupa Leonardo! #MasterChefBR
-1,Esse prato do Fab parece os meus quando chega fim do mês e n tem ovo e nem farinha em casa. #masterchefBR
1,#thenoite
1,Imaginando Fogaça fazendo uma janta para nos
-1,A psicologia de confronto de Fátima hoje ta pesadíssima.  Vamos acompanhar #Encontro
1,#VideoShowAoVivo adoroooo Joca e Ota😘😘
1,Para tudo e mãos para cima! Quem aí ama desgourmetizar com nosso #Rap10?
1,"#MasterChefBR Sou a diferentona, AMO A mirian &lt;3"
1,me preparando pro paolachef #masterchefBR
0,Carlos Alberto de Nóbrega no #TheNoite
1,Meninas lindas no #DomingoLegal muito melhor
1,"#Encontro Ainda tem gente que dúvida do amor, é possível sim e eu já amo Sofia, meu sogro Nando kkkkkkkk"
-1,Como corta a música desse jeito?? Max cantando MeuBemQuerer e entra chamada de novela! MUITO RUIM O CORTE!@fbbreal #Encontro @RedeGlobo
0,Danilo Gentili tentando ser imparcial é engraçado 
1,Que família bonita👏.... #Encontro
1,"#ConversaComBial falando sobre sistema penitenciário feminino com o Dráuzio Varella, sensacional falar sobre esse assunto."
1,#TheNoite e O Melhor Programa começou uhhul ♡
0,começou #MasterChefBR
0,Ana Paula sendo cupido da Paola com o Vitor.  Hahahahaha #MasterChefBR
-1,"o @MChefLeonardo podia entrar no banco de série e olhar os comentários de todos os episodios de #MasterChefBR e ver como ele é ""amado"""
-1,#thenoite
1,"Drauzio Varela é uma das pessoas mais esclarecidas, cultas e didáticas que existem. Dando aula sobre sexualidade... #ConversaComBial"
-1,#Encontro
1,Amo a Fátima Bernardes #VideoShowAoVivo
-1,Que inferno que é ter que olhar para a cara da Mirian ainda nesse programa 
0,"Hoje o programa vai ser na porrada, apanha menos quem cozinha mais !!!#MasterChefBR"
1,"sou muito fã da Rafa Brites! ela é simpática demais, cara ❤️"
0,#MasterChefBR será que termos ganhador de Minas Gerais
